1,2,3,4,5,6,7,A,B,C,D,E,F,G,J,L,M,N,Q,R,W,Z,GS,FS,RS
28 St,Times Sq-42 St,Crown Heights-Utica Av,Franklin Av-Medgar Evers College,233 St,59 St,,Rockaway Blvd,Broadway-Lafayette St,Hoyt-Schermerhorn,55 St,,Carroll St,,Canal St,,Lorimer St,86 St,Ocean Pkwy,Cortlandt St,,,,,
23 St,34 St-Penn Station,Sutter Ave-Rutland Rd,Crown Heights-Utica Av,225 St,51 St,,104 St,Grand St,Lafayette Av,62 St,,Smith-9 Sts,,Chambers St,,Flushing Av,Coney Island-Stillwell Av,W 8 St-NY Aquarium,Rector St,,,,,
18 St,14 St,Saratoga Av,,219 St,Grand Central-42 St,,111 St,DeKalb Av,Clinton-Washington Avs,71 St,,4 Av,,Fulton St,,Myrtle Av,,Coney Island-Stillwell Av,Whitehall St-South Ferry,,,,,
14 St,Chambers St,Rockaway Av,,Gun Hill Rd,33 St,,Ozone Pk-Lefferts Boulevard,Atlantic Av-Barclays Ctr,Franklin Av,79 St,,7 Av,,Broad St,,Central Av,,,Court St,,,,,
Christopher St-Sheridan Sq,Park Place,Junius St,,Burke Av,28 St,,Aqueduct Racetrack,7 Av,Nostrand Av,18 Av,,15 St-Prospect Park,,,,Knickerbocker Av,,,Jay St-MetroTech,,,,,
Houston St,Fulton St,Pennsylvania Av,,Allerton Av,23 St,,Aqueduct-North Conduit Av,Prospect Park,Kingston-Throop Avs,20 Av,,Fort Hamilton Pkwy,,,,Myrtle-Wyckoff Avs,,,DeKalb Av,,,,,
Canal St,Wall St,Van Siclen Av,,Pelham Pkwy,14 St-Union Sq,,Howard Beach-JFK Airport,Church Av,Utica Av,Bay Pkwy,,Church Av,,,,Seneca Av,,,Atlantic Av-Barclays Ctr,,,,,
Franklin St,Clark St,New Lots Av,,Bronx Park East,Astor Pl,,Broad Channel,Newkirk Plaza,Ralph Av,25 Av,,Ditmas Av,,,,Forest Av,,,Union St,,,,,
Chambers St,Borough Hall,,,Borough Hall,Bleeker St,,Beach 67 St,Kings Hwy,Rockaway Av,Bay-50 St,,18 Av,,,,Fresh Pond Rd,,,4 Av-9 St,,,,,
WTC Cortlandt,Hoyt St,,,Nevins St,Spring St,,Beach 60 St,Sheepshead Bay,Broadway Junction,Coney Island-Stillwell Av,,Avenue I,,,,Middle Village-Metropolitan Av,,,Prospect Av,,,,,
Rector St,Nevins St,,,Atlantic Av-Barclays Ctr,Canal St,,Beach 44 St,Brighton Beach,Liberty Av,,,Bay Pkwy,,,,,,,25 St,,,,,
South Ferry,Atlantic Av-Barclays Ctr,,,Franklin Av-Medgar Evers College,Brooklyn Bridge-City Hall,,Beach 36 St,,Van Siclen Av,,,Avenue N,,,,,,,36 St,,,,,
,Bergen St,,,President St-Medgar Evers College,,,Beach 25 St,,Shepherd Av,,,Avenue P,,,,,,,45 St,,,,,
,Grand Army Plaza,,,Sterling St,,,Far Rockaway-Mott Av,,Euclid Av,,,Kings Hwy,,,,,,,53 St,,,,,
,Eastern Pkwy-Brooklyn Museum,,,Winthrop St,,,Broad Channel,,,,,Avenue U,,,,,,,59 St,,,,,
,Franklin Av-Medgar Evers College,,,Church Av,,,Beach 90 St,,,,,Avenue X,,,,,,,Bay Ridge Av,,,,,
,President St-Medgar Evers College,,,Beverly Rd,,,Beach 98 St,,,,,Neptune Av,,,,,,,77 St,,,,,
,Sterling St,,,Newkirk Av-Little Haiti,,,Beach 105 St,,,,,W 8 St-NY Aquarium,,,,,,,86 St,,,,,
,Winthrop St,,,Flatbush Av-Brooklyn College,,,Rockaway Park-Beach 116 St,,,,,Coney Island-Stillwell Av,,,,,,,Bay Ridge-95 St,,,,,
,Church Av,,,,,,,,,,,,,,,,,,,,,,,
,Beverly Rd,,,,,,,,,,,,,,,,,,,,,,,
,Newkirk Av-Little Haiti,,,,,,,,,,,,,,,,,,,,,,,
,Flatbush Av-Brooklyn College,,,,,,,,,,,,,,,,,,,,,,,
